year,age,sex,purpose,country,nation,visits_sum,nights_sum,spend_sum,Sample_N
2004,0 -15,Male,Holiday,Belgium,UK,0.377883,2.645181,0.0141849721,1
2004,0 -15,Male,Holiday,Belgium,Belgium,18.702583,34.611563,1.477333252,20
2004,0 -15,Male,Holiday,Belgium,France,2.394247,0,0.0239448642,1
2004,0 -15,Male,Holiday,Belgium,USA,1.062013,1.547466,0.2007730979,2
2004,0 -15,Male,Holiday,France,UK,3.423046,22.158279,0.8974724015,5
2004,0 -15,Male,Holiday,France,Belgium,0.403893,0,0.0404668475,1
2004,0 -15,Male,Holiday,France,France,127.416045,574.949289,18.9137359567,112
2004,0 -15,Male,Holiday,France,Japan,0.441321,0.882642,0.1326778628,1
2004,0 -15,Male,Holiday,Germany,UK,3.507873,20.123268,0.225531181,3
2004,0 -15,Male,Holiday,Germany,Germany,72.319667,444.978452,15.2432327564,49
2004,0 -15,Male,Holiday,Germany,USA,1.96529,7.199556,1.122266295,2
2004,0 -15,Male,Holiday,Germany,India,0.740688,3.70344,0.2784920218,1
2004,0 -15,Male,Holiday,Italy,UK,0.408518,1.634072,0.0597796645,1
2004,0 -15,Male,Holiday,Italy,Italy,19.723286,163.867991,7.6385593856,19
2004,0 -15,Male,Holiday,Italy,Nigeria,1.343763,4.031289,0.306377964,1
2004,0 -15,Male,Holiday,Netherlands,UK,0.797257,1.594514,0.090090041,1
2004,0 -15,Male,Holiday,Netherlands,Netherlands,17.44289,170.179122,3.9398078527,19
2004,0 -15,Male,Holiday,Netherlands,Australia,0.785788,1.571576,0.1048217618,1
2004,0 -15,Male,Holiday,Denmark,Denmark,2.764001,9.499305,0.8432242793,5
2004,0 -15,Male,Holiday,Greece,Greece,1.994369,30.407768,1.177730232,3
2004,0 -15,Male,Holiday,Spain,Spain,5.480725,52.756246,1.9594918839,5
2004,0 -15,Male,Holiday,Portugal,Portugal,1.482487,21.843971,0.3350372989,3
2004,0 -15,Male,Holiday,Austria,UK,0.262421,2.62421,0.22043364,1
2004,0 -15,Male,Holiday,Austria,Austria,11.599165,128.556782,8.7056455648,18
2004,0 -15,Male,Holiday,Sweden,Sweden,9.482368,66.693109,3.168315569,10
2004,0 -15,Male,Holiday,Finland,Finland,4.930373,35.917653,1.660981979,6
2004,0 -15,Male,Holiday,Irish Republic,UK,1.361669,4.085007,0.2049311845,1
2004,0 -15,Male,Holiday,Irish Republic,Irish Republic,28.222749,61.515765,4.9750048528,23
2004,0 -15,Male,Holiday,Irish Republic,Canada,0.208988,1.04494,0.086312044,1
2004,0 -15,Male,Holiday,Yugoslavia,USA,0.261077,0.783231,0.0883745645,1
2004,0 -15,Male,Holiday,Switzerland,UK,0.382957,1.531828,0.0651792814,1
2004,0 -15,Male,Holiday,Switzerland,France,0.585238,8.193332,0.060279514,1
2004,0 -15,Male,Holiday,Switzerland,Germany,0.655761,3.278805,0.156071118,1
2004,0 -15,Male,Holiday,Switzerland,Switzerland,7.109969,110.251939,3.7950296467,8
2004,0 -15,Male,Holiday,Norway,Norway,12.30818,70.10459,4.3117431905,16
2004,0 -15,Male,Holiday,Iceland,Iceland,1.515989,5.841358,0.504498182,2
2004,0 -15,Male,Holiday,Iceland,USA,0.416467,1.249401,0.050392507,1
2004,0 -15,Male,Holiday,Czech Republic,Czech Republic,16.052215,60.01031,2.0327202194,7
2004,0 -15,Male,Holiday,Poland,Poland,14.891263,92.506984,2.4894951513,6
2004,0 -15,Male,Holiday,Hungary,Hungary,3.412176,16.511992,0.395600845,3
2004,0 -15,Male,Holiday,Russia,Russia,0.995394,7.391969,0.6262299675,2
2004,0 -15,Male,Holiday,Other Western Europe,UK,1.65164,36.33608,1.67311132,1
2004,0 -15,Male,Holiday,Other Western Europe,Other Western Europe,0.9823,8.18751,0.670472775,3
2004,0 -15,Male,Holiday,Other Eastern Europe,Other Eastern Europe,3.146396,80.759238,0.997730766,2
2004,0 -15,Male,Holiday,USA,UK,1.268849,25.542993,2.5736368654,4
2004,0 -15,Male,Holiday,USA,France,0.420048,0,0.012189793,1
2004,0 -15,Male,Holiday,USA,Spain,0.420048,2.940336,0.2255006686,1
2004,0 -15,Male,Holiday,USA,Poland,0.540062,3.780434,0.2899295844,1
2004,0 -15,Male,Holiday,USA,USA,29.27945,285.771839,17.1949120019,73
2004,0 -15,Male,Holiday,USA,Canada,0.313248,10.023936,0.239008224,1
2004,0 -15,Male,Holiday,Canada,UK,1.671668,27.615185,0.421202559,2
2004,0 -15,Male,Holiday,Canada,Canada,5.527221,62.883927,1.1477526814,11
2004,0 -15,Male,Holiday,Mexico,Mexico,0.683646,3.014337,0.1939124715,2
2004,0 -15,Male,Holiday,Argentina,Argentina,0.403893,1.615572,0.1905029996,1
2004,0 -15,Male,Holiday,Chile,Chile,0.865669,0.865669,0.064925175,1
2004,0 -15,Male,Holiday,Colombia,Colombia,0.232473,10.693758,0.177376899,1
2004,0 -15,Male,Holiday,Other Central & South America,UK,0.205778,2.880892,0.126141914,1
2004,0 -15,Male,Holiday,Other Central & South America,France,0.266904,0.800712,0.070195752,1
2004,0 -15,Male,Holiday,Hong Kong,UK,1.157705,15.447925,0.445852885,4
2004,0 -15,Male,Holiday,Hong Kong,USA,0.662856,4.639992,0.074696743,2
2004,0 -15,Male,Holiday,Hong Kong,Canada,0.350718,1.402872,0.136078584,1
2004,0 -15,Male,Holiday,Hong Kong,Hong Kong,0.474284,0.948568,0.290736092,1
2004,0 -15,Male,Holiday,Hong Kong,China,0.290471,4.066594,0.076393873,1
2004,0 -15,Male,Holiday,Malaysia,Malaysia,2.03416,20.307632,1.1295854358,5
2004,0 -15,Male,Holiday,Thailand,UK,0.329511,6.59022,0.663305643,1
2004,0 -15,Male,Holiday,Thailand,Malaysia,0.281553,0.563106,0.059970789,1
2004,0 -15,Male,Holiday,Singapore,Singapore,0.863419,10.220378,0.3609921,2
2004,0 -15,Male,Holiday,Taiwan,Taiwan,0.475269,3.802152,0.0950538,1
2004,0 -15,Male,Holiday,China,China,0.347445,4.86423,0.39191796,1
2004,0 -15,Male,Holiday,Other Asia,Other Asia,0.294194,0.294194,0.046776846,1
2004,0 -15,Male,Holiday,Japan,UK,1.122102,31.418856,0.575638326,1
2004,0 -15,Male,Holiday,Japan,USA,0.436204,2.18102,0.09378386,1
2004,0 -15,Male,Holiday,Japan,Japan,2.806832,16.525524,1.6700381188,8
2004,0 -15,Male,Holiday,South Korea,South Korea,6.68134,27.811622,1.050980304,6
2004,0 -15,Male,Holiday,Australia,UK,0.474174,5.215914,0.100999062,1
