Year,2004,2005,2006,2007,2008,2009,2010,2011
Bed & Breakfast,8576,7840,7411,7078,6500,5804,6341,5639
Camping/mobile home,3015,4705,4350,4182,2988,3296,2904,3229
Free guest with relatives or friends,113736,121487,133209,121272,122898,111947,107642,108703
Holiday village/Centre,222,346,336,576,329,448,321,321
Hostel/university/school,16757,17863,21103,15680,15443,16775,16305,18670
Hotel/guest house,45291,51069,57540,57174,55133,54246,58741,60365
Other,5546,7078,6930,6452,6597,4397,4982,4990
Own home,4638,5507,7895,5169,5110,4524,5068,5625
Paying guest family or friends house,8807,8716,9692,8240,7961,5423,5148,6574
Rented house,20818,24570,24950,25695,22817,22362,20482,20237
