Year,2004,2005,2006,2007,2008,2009,2010,2011
Bed & Breakfast,481,511,512,488,470,459,522,470
Camping/mobile home,97,112,142,146,111,144,129,128
Free guest with relatives or friends,3822,3972,4498,4207,4501,4425,4254,4371
Holiday village/Centre,9,12,17,27,22,27,23,23
Hostel/university/school,739,848,937,829,813,1055,1004,1122
Hotel/guest house,5826,6547,7580,7916,7914,7773,8577,9138
Other,263,308,245,328,337,328,272,307
Own home,354,357,412,402,429,531,354,377
Paying guest family or friends house,345,393,439,385,379,364,340,426
Rented house,861,951,977,971,1084,1245,1172,1305
